"userid","age","gender","subscriptionplan","registrationdate","lastvisitdate","averagevisitfrequency","averagesessionduration","favoriteactivity","monthlyusage","monthsactive","churn"
"user_2424",19,"Female","Student","2023-02-13","2023-10-08 15:35:00","1.22","102.09","Yoga","1.2222222222222222","21",1
"user_4407",28,"Female","Student","2021-08-09","2023-09-29 15:46:00","2.67","100.50","Cardio","2.6666666666666667","39",1
"user_1007",26,"Male","Pro","2021-11-02","2023-10-14 21:16:00",NULL,"102.11","Swimming",NULL,"36",1
"user_3455",19,"Non-binary","Basic","2023-03-01","2023-09-22 10:37:00","1.25","92.40","CrossFit","1.2500000000000000","20",1
"user_510",60,"Male","Student","2021-01-28","2023-10-10 19:37:00","1.00","102.00","Cardio","1.00000000000000000000","45",1
"user_1510",59,"Female","Pro","2022-06-09","2023-09-18 13:59:00","3.80","114.74","Pilates","3.8000000000000000","29",1
"user_36",61,"Female","Basic","2021-06-25","2023-10-10 14:41:00","2.50","104.10","Swimming","2.5000000000000000","40",1
"user_2219",51,"Female","Student","2022-03-31","2023-10-12 22:42:00","2.57","106.11","Cardio","2.5714285714285714","31",1
"user_3099",63,"Male","Pro","2022-01-09","2023-08-31 16:45:00","0.80","90.38","CrossFit","0.80000000000000000000","34",1
"user_2389",37,"Non-binary","Student","2022-11-19","2023-09-24 21:58:00","0.55","117.33","Weightlifting","0.54545454545454545455","23",1
"user_1258",41,"Male","Student","2023-03-18","2023-09-18 19:57:00","1.57","92.18","Weightlifting","1.5714285714285714","19",1
"user_4129",56,"Female","Pro","2023-04-02","2023-10-14 11:53:00","0.86","98.50","Pilates","0.85714285714285714286","19",1
"user_3748",43,"Female","Student","2022-08-17","2023-10-04 11:08:00","7.00","95.21","Yoga","7.0000000000000000","26",1
"user_4345",29,"Male","Pro","2022-02-17","2023-09-19 09:32:00","1.75","113.71","Yoga","1.7500000000000000","32",1
"user_2304",49,"Female","Pro","2022-06-14","2023-10-04 19:25:00","1.20","134.33","Yoga","1.2000000000000000","29",1
"user_1614",59,"Female","Basic","2022-10-29","2023-10-15 18:33:00",NULL,"102.08","Pilates",NULL,"24",1
"user_36",61,"Female","Basic","2021-06-25","2023-10-05 11:09:00","2.00","116.13","Weightlifting","2.0000000000000000","40",1
"user_2777",49,"Male","Pro","2023-06-13","2023-08-01 20:14:00","3.00","114.47","Pilates","3.0000000000000000","17",1
"user_4537",49,"Male","Basic","2022-01-01","2023-10-13 20:21:00","1.40","113.36","CrossFit","1.4000000000000000","34",1
"user_4587",63,"Female","Pro","2023-05-16","2023-09-28 10:37:00","2.00","107.70","Cardio","2.0000000000000000","17",1
"user_2030",25,"Non-binary","Student","2021-06-09","2023-10-15 12:26:00","2.20","113.36","Pilates","2.2000000000000000","41",1
"user_4566",49,"Male","Basic","2021-07-12","2023-09-30 10:07:00","2.25","99.33","Cardio","2.2500000000000000","40",1
"user_1471",24,"Male","Student","2021-04-17","2023-08-16 20:51:00","1.67","101.30","Pilates","1.6666666666666667","42",1
"user_4629",45,"Female","Pro","2022-10-31","2023-07-19 15:25:00",NULL,"109.67","CrossFit",NULL,"24",1
"user_467",33,"Male","Basic","2021-08-31","2023-09-04 18:41:00","4.50","96.67","Cardio","4.5000000000000000","38",1
"user_3368",26,"Male","Pro","2021-01-27","2023-08-30 09:54:00","1.00","114.44","Cardio","1.00000000000000000000","45",1
"user_4645",20,"Female","Pro","2023-08-07","2023-10-12 20:40:00","3.33","114.10","Weightlifting","3.3333333333333333","15",1
"user_1156",57,"Non-binary","Student","2022-12-28","2023-10-08 14:52:00","0.60","102.00","Swimming","0.60000000000000000000","22",1
"user_2299",54,"Male","Basic","2023-04-15","2023-08-27 14:25:00","1.67","115.10","Yoga","1.6666666666666667","18",1
"user_2661",45,"Male","Pro","2022-07-07","2023-09-14 20:50:00","2.00","96.63","Cardio","2.0000000000000000","28",1
"user_301",21,"Male","Pro","2022-08-17","2023-10-06 19:16:00","7.50","96.87","Pilates","7.5000000000000000","26",1
"user_2830",21,"Male","Pro","2022-11-28","2023-06-19 08:01:00","0.64","70.43","Yoga","0.63636363636363636364","23",1
"user_4084",34,"Male","Student","2022-05-15","2023-10-12 14:53:00","2.40","102.33","CrossFit","2.4000000000000000","29",1
"user_316",55,"Male","Basic","2023-04-17","2023-10-09 08:59:00","2.00","109.42","Swimming","2.0000000000000000","18",1
"user_2138",21,"Female","Pro","2022-08-17","2023-09-26 19:03:00","4.50","101.33","Swimming","4.5000000000000000","26",1
"user_211",49,"Male","Student","2022-08-27","2023-07-22 12:21:00","5.00","78.30","CrossFit","5.0000000000000000","26",1
"user_1393",41,"Male","Pro","2023-01-30","2023-10-14 17:35:00","1.22","94.91","Cardio","1.2222222222222222","21",1
"user_2764",64,"Non-binary","Student","2021-03-12","2023-09-15 16:29:00","1.00","79.00","Pilates","1.00000000000000000000","44",1
"user_3920",38,"Non-binary","Basic","2023-03-03","2023-09-13 15:23:00","1.13","108.11","Weightlifting","1.1250000000000000","20",1
"user_4965",60,"Female","Student","2021-01-30","2023-09-04 18:54:00","1.33","102.08","CrossFit","1.3333333333333333","45",1
"user_4058",51,"Non-binary","Pro","2021-04-21","2023-09-12 09:28:00","1.00","127.33","Weightlifting","1.00000000000000000000","42",1
"user_1531",27,"Female","Pro","2022-03-12","2023-07-28 16:45:00","1.13","107.33","CrossFit","1.1250000000000000","32",1
"user_1498",61,"Male","Pro","2022-08-08","2023-09-16 17:06:00","2.67","86.88","Yoga","2.6666666666666667","27",1
"user_212",50,"Non-binary","Pro","2021-11-13","2023-08-17 09:41:00",NULL,"86.91","Weightlifting",NULL,"36",1
"user_4011",57,"Female","Student","2021-09-19","2023-10-10 17:13:00","15.00","118.20","Pilates","15.0000000000000000","37",1
"user_1006",54,"Male","Student","2023-06-15","2023-07-30 21:00:00","1.75","96.14","Swimming","1.7500000000000000","16",1
"user_340",52,"Male","Pro","2023-03-05","2023-09-30 20:40:00","1.38","88.64","CrossFit","1.3750000000000000","20",1
"user_1999",56,"Female","Pro","2023-09-26","2023-10-12 19:00:00","10.00","99.10","Swimming","10.0000000000000000","13",1
"user_3939",52,"Male","Pro","2022-09-28","2023-10-15 15:41:00","13.00","102.00","Cardio","13.0000000000000000","25",1
